Date,Open,High,Low,Close,Adj Close,Volume
2005-11-28,3.180833,3.208333,3.100000,3.156667,2.899254,42452400
2005-11-29,2.970000,3.054167,2.943333,2.956667,2.715561,104313600
2005-11-30,2.935833,3.027500,2.935000,3.012500,2.766842,57544800
2005-12-01,3.037500,3.062500,3.005000,3.048333,2.799754,56203200
2005-12-02,3.062500,3.070000,3.008333,3.049167,2.800520,33447600
2005-12-05,3.055833,3.055833,2.982500,2.992500,2.748473,38770800
2005-12-06,2.997500,3.045833,2.993333,3.005000,2.759953,37525200
2005-12-07,3.016667,3.035000,2.958333,3.010000,2.764546,35266800
2005-12-08,2.994167,3.033333,2.951667,2.985833,2.742351,38666400
2005-12-09,2.995000,3.032500,2.953333,3.028333,2.781385,26289600
2005-12-12,3.036667,3.079167,3.031667,3.072500,2.821950,28113600
2005-12-13,3.078333,3.139167,3.055833,3.112500,2.858688,44341200
2005-12-14,3.089167,3.104167,3.046667,3.083333,2.831899,28747200
2005-12-15,3.080833,3.104167,3.012500,3.044167,2.795927,33272400
2005-12-16,3.055000,3.084167,3.025833,3.070833,2.820419,106560000
2005-12-19,3.077500,3.100000,3.012500,3.020000,2.773731,29229600
2005-12-20,3.016667,3.062500,2.978333,3.018333,2.772199,30435600
2005-12-21,3.032500,3.057500,2.985000,3.012500,2.766842,28938000
2005-12-22,3.010000,3.107500,3.009167,3.104167,2.851034,31833600
2005-12-23,3.112500,3.132500,3.091667,3.128333,2.873230,21453600
2005-12-27,3.125000,3.181667,3.115000,3.147500,2.890834,36796800
2005-12-28,3.147500,3.186667,3.127500,3.176667,2.917623,26442000
2005-12-29,3.175000,3.185000,3.092500,3.105833,2.852565,31046400
2005-12-30,3.088333,3.089167,3.034167,3.046667,2.798224,22960800
2006-01-03,3.064167,3.208333,3.054167,3.185000,2.925275,47281200
2006-01-04,3.209167,3.279167,3.175833,3.274167,3.007172,51007200
2006-01-05,3.275000,3.354167,3.269167,3.348333,3.075290,64609200
2006-01-06,3.386667,3.415833,3.254167,3.403333,3.125804,62338800
2006-01-09,3.401667,3.516667,3.394167,3.498333,3.213058,56048400
2006-01-10,3.481667,3.499167,3.437500,3.499167,3.213824,33966000
2006-01-11,3.502500,3.645833,3.496667,3.625833,3.330160,62630400
2006-01-12,3.625000,3.680833,3.548333,3.574167,3.282708,49550400
2006-01-13,3.565833,3.595000,3.492500,3.542500,3.253623,42129600
2006-01-17,3.494167,3.541667,3.447500,3.540000,3.251327,32923200
2006-01-18,3.432500,3.570000,3.400000,3.558333,3.268165,45994800
2006-01-19,3.605833,3.805000,3.599167,3.755833,3.449559,91476000
2006-01-20,3.761667,3.805000,3.650000,3.650833,3.353122,46160400
2006-01-23,3.679167,3.702500,3.629167,3.671667,3.372257,33488400
2006-01-24,3.680000,3.766667,3.670000,3.690000,3.389095,38889600
2006-01-25,3.708333,3.732500,3.613333,3.657500,3.359245,40023600
2006-01-26,3.710833,3.785833,3.687500,3.782500,3.474052,44883600
2006-01-27,3.831667,3.896667,3.800000,3.854167,3.539876,38504400
2006-01-30,3.870833,3.875000,3.793333,3.810833,3.500074,31578000
2006-01-31,3.791667,3.812500,3.717500,3.746667,3.441141,38445600
2006-02-01,3.679167,3.764167,3.665000,3.749167,3.443438,45085200
2006-02-02,3.783333,3.785833,3.629167,3.635000,3.338580,47373600
2006-02-03,3.611667,3.713333,3.600000,3.668333,3.369195,50425200
2006-02-06,3.658333,3.775833,3.642500,3.771667,3.464103,36346800
2006-02-07,3.779167,3.779167,3.635833,3.637500,3.340876,39940800
2006-02-08,3.648333,3.742500,3.648333,3.742500,3.437315,39307200
2006-02-09,3.754167,3.812500,3.655833,3.679167,3.379145,43710000
2006-02-10,3.692500,3.709167,3.572500,3.658333,3.360010,41499600
2006-02-13,3.646667,3.696667,3.621667,3.670833,3.371491,28074000
2006-02-14,3.670833,3.690833,3.629167,3.677500,3.377614,34234800
2006-02-15,3.670000,3.758333,3.660833,3.748333,3.442671,49329600
2006-02-16,3.818333,3.941667,3.792500,3.933333,3.612585,130588800
2006-02-17,4.222500,4.226667,3.933333,3.955833,3.633250,235695600
2006-02-21,3.947500,3.954167,3.837500,3.871667,3.555948,68406000
2006-02-22,3.816667,3.895833,3.725000,3.865000,3.549824,93975600
2006-02-23,3.853333,3.879167,3.795000,3.805833,3.495483,38512800
2006-02-24,3.822500,3.868333,3.785000,3.805000,3.494718,41641200
2006-02-27,3.834167,3.983333,3.794167,3.959167,3.636313,66646800
2006-02-28,3.941667,3.975000,3.889167,3.927500,3.607228,56331600
2006-03-01,3.941667,4.100000,3.916667,4.076667,3.744231,70393200
2006-03-02,4.072500,4.140000,4.030000,4.082500,3.749588,54546000
2006-03-03,4.045000,4.167500,4.037500,4.096667,3.762600,59580000
2006-03-06,4.176667,4.204167,4.068333,4.088333,3.754945,52902000
2006-03-07,4.089167,4.120833,3.937500,4.018333,3.690654,60620400
2006-03-08,4.019167,4.040000,3.855000,3.998333,3.672285,67080000
2006-03-09,4.046667,4.114167,4.016667,4.019167,3.691420,53670000
2006-03-10,4.015000,4.065833,3.913333,3.949167,3.627127,52158000
2006-03-13,3.989167,4.015833,3.959167,3.996667,3.670755,37213200
2006-03-14,4.000000,4.124167,3.985000,4.107500,3.772549,62779200
2006-03-15,4.115833,4.179167,4.100000,4.173333,3.833014,51060000
2006-03-16,4.180833,4.185833,4.017500,4.031667,3.702901,56841600
2006-03-17,4.012500,4.075000,3.952500,4.064167,3.732751,61858800
2006-03-20,4.100000,4.100833,4.029167,4.033333,3.704430,29377200
2006-03-21,4.232500,4.308333,4.121667,4.232500,3.887356,123547200
2006-03-22,4.125000,4.145000,4.018333,4.110833,3.775611,115857600
2006-03-23,4.125000,4.204167,4.078333,4.187500,3.846026,66199200
2006-03-24,4.198333,4.336667,4.191667,4.329167,3.976141,68793600
2006-03-27,4.332500,4.449167,4.318333,4.445833,4.083293,65144400
2006-03-28,4.425833,4.573333,4.416667,4.514167,4.146054,79520400
2006-03-29,4.533333,4.765000,4.495833,4.756667,4.368780,98709600
2006-03-30,4.761667,4.815000,4.675833,4.789167,4.398632,106330800
2006-03-31,4.785833,4.852500,4.742500,4.771667,4.382556,83556000
2006-04-03,4.796667,4.891667,4.736667,4.825000,4.431541,96891600
2006-04-04,4.831667,5.058333,4.826667,5.050833,4.638957,120061200
2006-04-05,5.041667,5.116667,4.934167,5.091667,4.676464,111297600
2006-04-06,5.078333,5.140000,5.008333,5.101667,4.685646,78931200
2006-04-07,5.080000,5.125000,4.988333,5.088333,4.673401,68267400
2006-04-10,5.076667,5.106667,4.961667,5.000000,4.592270,63423000
2006-04-11,5.016667,5.016667,4.848333,4.878333,4.480525,70207200
2006-04-12,4.910000,5.101667,4.883333,5.075000,4.661154,59830800
2006-04-13,4.966667,5.023333,4.913333,4.933333,4.531039,73836000
2006-04-17,4.925000,5.070000,4.906667,4.946667,4.543287,44386800
2006-04-18,4.858333,4.860000,4.698333,4.830000,4.436130,116548800
2006-04-19,4.800000,4.913333,4.733333,4.860000,4.463686,51747600
2006-04-20,4.816667,4.940000,4.736667,4.853333,4.457562,55268400
2006-04-21,4.868333,4.888333,4.621667,4.678333,4.296833,77001600
2006-04-24,4.708333,4.868333,4.625000,4.821667,4.428480,67684800
2006-04-25,4.766667,4.830000,4.683333,4.818333,4.425416,71976600
2006-04-26,4.836667,4.910000,4.733333,4.785000,4.394802,33052800
2006-04-27,4.766667,4.906667,4.663333,4.861667,4.465219,46296600
2006-04-28,4.865000,4.931667,4.823333,4.870000,4.472872,28473600
2006-05-01,4.903333,5.245000,4.903333,5.150000,4.730038,90247200
2006-05-02,5.188333,5.250000,5.055000,5.143333,4.723914,53970000
2006-05-03,5.085000,5.233333,5.080000,5.176667,4.754530,37811400
2006-05-04,5.075000,5.200000,5.048333,5.143333,4.723914,51112800
2006-05-05,5.170000,5.231667,5.098333,5.213333,4.788207,33818400
2006-05-08,5.200000,5.313333,5.141667,5.190000,4.766776,50362200
2006-05-09,5.183333,5.210000,5.025000,5.031667,4.621356,56164800
2006-05-10,4.971667,5.030000,4.870000,4.920000,4.518794,75326400
2006-05-11,4.970000,5.016667,4.706667,4.745000,4.358064,120111000
2006-05-12,4.631667,4.655000,4.290000,4.388333,4.030481,156817200
2006-05-15,4.380000,4.490000,4.341667,4.451667,4.088652,55338000
2006-05-16,4.476667,4.478333,4.306667,4.335000,3.981498,49753200
2006-05-17,4.320000,4.345000,4.083333,4.160000,3.820770,84107400
2006-05-18,4.193333,4.233333,3.966667,3.971667,3.647793,68673000
2006-05-19,4.008333,4.150000,3.968333,4.055000,3.724331,93280800
2006-05-22,4.033333,4.041667,3.890000,4.000000,3.673815,73488600
2006-05-23,4.083333,4.178333,3.940000,3.956667,3.634017,53231400
2006-05-24,3.991667,4.126667,3.901667,4.008333,3.681469,57952200
2006-05-25,4.083333,4.143333,3.965000,3.986667,3.661569,42366600
2006-05-26,4.001667,4.028333,3.953333,3.995000,3.669223,29464200
2006-05-30,4.001667,4.003333,3.826667,3.828333,3.516147,44878800
2006-05-31,3.880000,3.916667,3.806667,3.830000,3.517679,59842200
2006-06-01,3.873333,4.030000,3.813333,4.030000,3.701369,53712600
2006-06-02,4.095000,4.115000,3.931667,3.971667,3.647793,67371000
2006-06-05,3.950000,4.023333,3.793333,3.805000,3.494718,58105200
2006-06-06,3.853333,3.856667,3.600000,3.703333,3.401341,82413000
2006-06-07,3.743333,3.750000,3.608333,3.636667,3.340111,56538000
2006-06-08,3.595000,3.641667,3.426667,3.570000,3.278880,73057200
2006-06-09,3.616667,3.678333,3.528333,3.558333,3.268165,43382400
2006-06-12,3.496667,3.543333,3.341667,3.361667,3.087537,46323000
2006-06-13,3.360000,3.428333,3.278333,3.310000,3.040083,53254800
2006-06-14,3.330000,3.416667,3.295000,3.406667,3.128867,48049200
2006-06-15,3.531667,3.716667,3.503333,3.705000,3.402872,83733600
2006-06-16,3.680000,3.690000,3.575000,3.610000,3.315619,50344800
2006-06-19,3.650000,3.668333,3.493333,3.501667,3.216120,38804400
2006-06-20,3.405000,3.525000,3.391667,3.446667,3.165605,53581800
